site,STIC,sublocation,month,windowLength_days,prcData,prcWet,meanTemp_C
20M04,20M04_2,LS,July,14,1,0.0052044609665427505,26.87272118959108
20M04,20M04_1,HS,July,21,1,0,25.237040158651464
20M04,20M04_2,LS,July,21,1,0.0034705007436787306,27.03775409023302
20M05,20M05_1,HS,July,7,1,0.8930163447251115,21.910579494799407
20M05,20M05_2,LS,July,7,1,0.9806835066864784,22.03552748885587
20M05,20M05_1,HS,July,14,1,0.9063197026022305,22.05385130111524
20M05,20M05_2,LS,July,14,1,0.9903345724907063,22.234728624535315
20M05,20M05_1,HS,July,21,1,0.9350520575111552,22.15302925136341
20M05,20M05_2,LS,July,21,1,0.993554784333168,22.309092711948438
SFM01,SFM01_1,HS,July,7,1,0.687964338781575,20.53156017830609
SFM01,SFM01_2,LS,July,7,1,1,15.26809806835067
SFM01,SFM01_1,HS,July,14,1,0.8438661710037175,18.78360594795539
SFM01,SFM01_2,LS,July,14,1,1,15.131323420074349
SFM01,SFM01_1,HS,July,21,1,0.895884977689638,18.182206246901337
SFM01,SFM01_2,LS,July,21,1,1,14.996296479920675
SFM02,SFM02_1,HS,July,7,1,0,23.490534918276374
SFM02,SFM02_2,LS,July,7,1,0,23.03780089153046
SFM02,SFM02_1,HS,July,14,1,0,23.507353159851302
SFM02,SFM02_2,LS,July,14,1,0,22.810371747211896
SFM02,SFM02_1,HS,July,21,1,0,23.423316807139315
SFM02,SFM02_2,LS,July,21,1,0.2860684184432325,21.37797223599405
SFM03,SFM03_2,LS,July,7,1,0,23.983536404160475
SFM03,SFM03_2,LS,July,14,1,0,23.715078066914497
SFM03,SFM03_2,LS,July,21,1,0.0480912245909767,23.070337134357956
SFM04,SFM04_1,HS,July,7,1,0,22.675839524517087
SFM04,SFM04_1,HS,July,14,1,0,22.56449814126394
SFM04,SFM04_1,HS,July,21,1,0.039167079821517105,22.308487853247396
SFM05,SFM05_1,HS,July,7,1,0.1575037147102526,23.90930163447251
SFM05,SFM05_2,LS,July,7,1,0.03714710252600297,24.814635958395247
SFM05,SFM05_1,HS,July,14,1,0.5055762081784386,23.257167286245352
SFM05,SFM05_2,LS,July,14,1,0.37100371747211897,24.13502602230483
SFM05,SFM05_1,HS,July,21,1,0.6703024293505205,22.570059494298462
SFM05,SFM05_2,LS,July,21,1,0.5805651958353991,23.252979672781358
SFM07,SFM07_1,HS,July,7,1,0.0014858841010401188,23.139598811292718
SFM07,SFM07_1,HS,July,14,1,7.434944237918215e-4,23.14175464684015
SFM07,SFM07_1,HS,July,21,1,4.957858205255329e-4,23.251110560237976
SFT01,SFT01_1,HS,July,7,1,0.14561664190193166,22.733075780089152
SFT01,SFT01_1,HS,July,14,1,0.48401486988847586,21.538371747211897
SFT01,SFT01_1,HS,July,21,1,0.6559246405552801,20.679598413485373
SFT02,SFT02_1,HS,July,7,1,0,26.631976225854384
SFT02,SFT02_2,LS,July,7,1,0.0237741456166419,26.16925705794948
SFT02,SFT02_1,HS,July,14,1,0,26.520654275092937
SFT02,SFT02_2,LS,July,14,1,0.011895910780669145,26.17917472118959
SFT02,SFT02_1,HS,July,21,1,0,26.45601883986118
SFT02,SFT02_2,LS,July,21,1,0.007932573128408527,26.23818046603867
01M01,01M01_1,HS,August,7,1,0.2526002971768202,24.943625557206538
01M01,01M01_1,HS,August,14,1,0.16728624535315986,25.478594795539035
01M01,01M01_1,HS,August,21,1,0.26574119980168565,25.309647992067426
01M02,01M02_1,HS,August,7,1,0,26.72472511144131
01M02,01M02_1,HS,August,14,1,0,27.326260223048326
01M02,01M02_1,HS,August,21,1,0,27.020946950917203
01M03,01M03_1,HS,August,7,1,0,26.620549777117386
01M03,01M03_2,LS,August,7,1,0,25.830089153046064
01M03,01M03_1,HS,August,14,1,0,26.848624535315984
01M03,01M03_2,LS,August,14,1,0,25.889026022304833
01M03,01M03_1,HS,August,21,1,0,26.89678235002479
01M03,01M03_2,LS,August,21,1,0,25.916772434308378
01M04,01M04_2,LS,August,7,1,0,28.20368499257058
01M04,01M04_2,LS,August,14,1,0,28.91710780669145
01M04,01M04_2,LS,August,21,1,0,29.126241943480416
01M05,01M05_1,HS,August,7,1,1,25.90111441307578
01M05,01M05_1,HS,August,14,1,1,26.166312267657993
01M05,01M05_1,HS,August,21,1,0.866137828458106,26.235364402578085
01M06,01M06_1,HS,August,7,1,0,25.417533432392272
01M06,01M06_1,HS,August,14,1,0,25.195806691449814
01M06,01M06_1,HS,August,21,1,0,25.143019335647
02M01,02M01_2,LS,August,7,1,0,26.020163447251115
